,source,z-score,pt,ref,1gram-precision,2gram-precision,3gram-precision,4gram-precision,1gram-recall,2gram-recall,3gram-recall,4gram-recall,wmdist,pt_len,ref_len
0,"""In the GISS model's simulation, Venus' slow spin exposes its dayside to the sun for almost two months at a time,"" GISS scientist Anthony Del Genio explained in a news release.",-1.17186717606668,"['在', '上', '在', '的', '的', '使', '其', '的', '近', '个']","['的', '在', '在', '的', '的', '使', '它', '在', '下', '了', '个']",0.7,0.3333333333333333,0.25,0.14285714285714285,0.6363636363636364,0.3,0.2222222222222222,0.125,0.43727093011463986,10,11
1,"Ai Yanhan of China in the Women's 4 x 200m Freestyle Relay Final was described as: 'That little 14-year-old from China dropped the ball, baby.'",-2.2554026925166,"['的', '被', '这样', '那', '的', '了', '个', '的']","['在', '的', '最后', '被', '的', '从', '了']",0.5,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.583407815849925,8,7
2,"Then came 2012, when nothing much went right for her and her teammates.",-2.50899611126019,"['她', '和', '她', '的', '都', '不', '被']","['然后', '当', '她', '和', '她', '的', '没有', '什么']",0.5714285714285714,0.5,0.4,0.25,0.5,0.42857142857142855,0.3333333333333333,0.2,0.5867181325498266,7,8
3,"Since last year, Guodian Group has exported a total of 163 sets of wind power projects from Lianyungang Port to South Africa.",-2.41678032262616,"['自', '以来', '有', '从']","['自', '以来', '从', '通过', '了']",0.75,0.3333333333333333,0.0,0.0,0.6,0.25,0.0,0.0,0.554643431893444,4,5
4,"Some alleged that the Kempinski hotel simply ""caved in"" to the alleged demands of Arabic customers.",-1.48967554289585,"['认为', '简直', '是', '为了', '满足', '的', '要求', '而']","['一些', '人', '只是', '被', '以', '满足', '的', '要求']",0.375,0.2857142857142857,0.16666666666666666,0.0,0.375,0.2857142857142857,0.16666666666666666,0.0,0.771989594894737,8,8
5,"He recalled that after Zhang Binbin came into the Xiamen shooting team more than a year later, the team carried out a long shot of gun training, requiring players not to move for half an hour.",-0.895219810164578,"['他', '进入', '一', '多', '进行', '的', '要求', '半', '个', '不']","['他', '在', '一', '进入', '后', '开展', '了', '一个', '的', '要求', '不要', '半']",0.6,0.1111111111111111,0.0,0.0,0.5,0.09090909090909091,0.0,0.0,0.6136818125168397,10,12
6,"As never before or since, home economists - among them Louise Stanley, chief of the federal Bureau of Home Economics from 1923 to 1943 - drove the country's eating habits.",-2.32456453399212,"['着', '这个', '的', '比如', '至', '的', '等', '人', '这', '在', '上', '是', '的']","['自从', '至', '他们', '在']",0.15384615384615385,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0907386257486373,13,4
7,"For old friends, Han Zhiyuan suggested them better not stay up late to watch games, particularly those with cardiovascular disease.",-1.12575928174967,"['对于', '尽量', '不要', '为了', '看', '而', '特别是', '有', '的']","['对于', '来说', '他们', '更', '好', '地', '起来', '特别是']",0.2222222222222222,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.8778709377233056,9,8
8,"""He found an apartment, he was dating a girl,"" Louis Galicia told KGO.",-0.0321133168011675,"['一', '同时', '在', '跟', '一个']","['他', '了', '一个', '他', '和', '一个']",0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.9760390057662589,5,6
9,"Fiji started magnificently, bouncing off GB tackles for fun.",-1.84043164366344,"['就', '使', '毫无']","['高兴', '地', '了', '一个', '的']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2716485393945456,3,5
10,Reid says Clinton will stick with Garland as Supreme Court nominee if elected,-0.246892875179206,"['若', '将', '进入', '最高']","['将', '如果', '被', '产生', '最高']",0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.7447765103552818,4,5
11,It is reported that the flags are expected to arrive in Rio on the 11th. Then the Olympic Organizing Committee will send the flags to various Olympic venues after receiving the flag. The whole process will be under the supervision of the Chinese embassy in Brazil.,0.3496933363948969,"['据悉', '于', '后', '会', '各个', '整个', '将', '在', '的', '完成']","['据', '的', '将', '在', '达到', '在', '之后', '将', '各种', '整个', '将', '受到', '的']",0.4,0.2222222222222222,0.0,0.0,0.3076923076923077,0.16666666666666666,0.0,0.0,0.7267262999938073,10,13
12,"Other observers share her view, a complaint that Snapchat has left largely unanswered.",0.203896603983731,"['其他', '了', '她', '没有', '被', '的']","['另', '一些', '也', '她', '的', '一个', '关于', '的']",0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.906896616496433,6,8
13,You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.,-1.44038748658048,"['你', '的', '是', '和', '你', '的', '使得', '我们', '大家', '都', '像', '一', '人']","['你们', '和', '使', '我们', '大家', '都', '像', '一', '一样']",0.46153846153846156,0.3333333333333333,0.2727272727272727,0.2,0.6666666666666666,0.5,0.42857142857142855,0.3333333333333333,0.6167082979696268,13,9
14,Portland smelter's future in doubt with axing of power contract,-0.3419250783603669,"['的', '因', '的', '而']","['的', '可能', '会']",0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8675183129452715,4,3
15,"""In terms of politics, Africa is relatively lagging behind, but there are many African countries. So Japan has always regarded it as the so-called 'big ticket field,'"" said Yang Bojiang, an expert for Japanese issues.",-0.480248761311419,"['问题', '从', '方面', '虽然', '相对', '但是', '比较', '多', '所以', '把', '它', '所谓', '的']","['问题', '表示', '在', '方面', '相对', '但是', '有', '很多', '因此', '认为', '它', '是', '所谓', '的']",0.5384615384615384,0.16666666666666666,0.0,0.0,0.5,0.15384615384615385,0.0,0.0,0.5826055674762959,13,14
