,source,z-score,pt,ref,1gram-precision,2gram-precision,3gram-precision,4gram-precision,1gram-recall,2gram-recall,3gram-recall,4gram-recall,wmdist,pt_len,ref_len
0,"You can turn yourself into a pineapple, a dog or a character befitting a Roy Lichtenstein painting.",-0.286194970713784,"['voit', 'muuttaa', 'itsesi', 'ananakseksi', 'koiraksi', 'tai', 'hahmoksi', 'joka', 'sopisi', 'roy', 'lichtensteinin', 'maalaukseen']","['voit', 'muuttaa', 'itsesi', 'ananasta', 'koirasta', 'tai', 'roy', 'lichtensteinin', 'maalauksesta', 'sopivasta', 'merkistä']",0.5,0.2727272727272727,0.1,0.0,0.5454545454545454,0.3,0.1111111111111111,0.0,0.3677794838742606,12,11
1,Also shot were three men: two 29-year-olds and one 32-year old.,0.547076427150851,"['myös', 'kolmea', 'miestä', 'ammuttiin', 'kahta', '29-vuotiasta', 'ja', 'yhtä', '32-vuotiasta']","['myös', 'ammuttiin', 'kolme', 'miestä', 'kaksi', '29-vuotiaita', 'ja', 'yksi', '32-vuotias']",0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.3074554362727881,9,9
2,"The information is stored at the cash registers anyway, whether you want it or not.",1.12247582879082,"['tiedot', 'kuitenkin', 'tallentuvat', 'kassoilla', 'joka', 'tapauksessa', 'halusi', 'sitä', 'taikka', 'ei']","['tiedot', 'tallennetaan', 'kassakoneisiin', 'joka', 'tapauksessa', 'haluatko', 'sen', 'vai', 'ei']",0.4,0.1111111111111111,0.0,0.0,0.4444444444444444,0.125,0.0,0.0,0.29235397418543824,10,9
3,Xinhua says that there were traces of hydrochlorothiazide diuretic in Xinyi’s sample from Sunday.,0.3830948172916901,"['xinhua', 'kertoo', 'että', 'xinyin', 'sunnuntaina', 'antamasta', 'näytteestä', 'olisi', 'löytynyt', 'merkkejä', 'hydroklooritiatsidi', 'nimisestä', 'diureetista']","['xinhua', 'kertoo', 'että', 'xinyin', 'näytteestä', 'oli', 'sunnuntaina', 'hydroklooritiatsididiureettia']",0.46153846153846156,0.25,0.18181818181818182,0.1,0.75,0.42857142857142855,0.3333333333333333,0.2,0.23833202543732313,13,8
4,"MacDonald, who was brought on board CBC's commentary team to provide 'color' could be heard saying: 'That little 14-year-old from China dropped the ball, baby'.",-0.4930647745183279,"['macdonaldin', 'joka', 'tuli', 'cbc', 'n', 'selostajatiimiin', 'tuomaan', 'väriä', 'kuultiin', 'sanovan', 'tuo', 'pikkuinen', '14-vuotias', 'kiinasta', 'möhläsi', 'baby']","['voitaisiin', 'kuulla', 'cbd', 'n', 'kommenttitiimin', 'toimittama', 'macdonald', 'joka', 'sanoi', 'se', 'pieni', '14-vuotias', 'kiinasta', 'pudotti', 'pallon', 'vauva']",0.25,0.06666666666666667,0.0,0.0,0.25,0.06666666666666667,0.0,0.0,0.22052070044420657,16,16
5,"Buyers of stolen bikes are normal Finnish people, according to the police.",1.51666770048069,"['varastettujen', 'pyörien', 'ostajat', 'ovat', 'poliisin', 'mukaan', 'tavallisia', 'suomalaisia']","['varastettujen', 'polkupyörän', 'ostajat', 'ovat', 'tavanomaisia', 'suomalaisia', 'poliisin', 'mukaan']",0.75,0.2857142857142857,0.0,0.0,0.75,0.2857142857142857,0.0,0.0,0.15773386456771193,8,8
6,"Salomon Koli, who raises beef cattle, has a goal of investing in even bigger a cowshed.",-0.632826014547161,"['lihanautoja', 'kasvattavan', 'salomon', 'kolin', 'tavoitteena', 'on', 'investoida', 'vielä', 'isompaan', 'navettaan']","['salomon', 'koli', 'joka', 'nostaa', 'naudanlihasta', 'pyrkii', 'investoimaan', 'entistä', 'suurempaan', 'lehmähauteen']",0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3257499349613965,10,10
7,"The news and the outrage went wide on Wednesday, with reports by The Verge and Motherboard, a day after Snapchat said it had dismantled the feature.",-0.439218050174114,"['uutiset', 'ja', 'paheksunta', 'levisivät', 'laajalle', 'keskiviikkona', 'the', 'vergen', 'ja', 'motherboardin', 'raporttien', 'myötä', 'päivä', 'myöhemmin', 'snapchat', 'sanoi', 'lakkauttaneensa', 'ominaisuuden']","['uutiset', 'ja', 'yliluonnos', 'menivät', 'lauantaina', 'keskiviikkona', 'the', 'vergen', 'ja', 'emolevyn', 'raportit', 'päivä', 'sen', 'jälkeen', 'kun', 'snapchat', 'sanoi', 'että', 'se', 'oli', 'purkanut', 'ominaisuuden']",0.5555555555555556,0.29411764705882354,0.125,0.06666666666666667,0.45454545454545453,0.23809523809523808,0.1,0.05263157894736842,0.2097193298510435,18,22
8,The most recent method reform,0.59360433556338,"['tuorein', 'työtapojen', 'uudistus']","['viimeisin', 'menetelmäuudistus']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7848759030344984,3,2
9,The girl adopted by her grandparents as a toddler and discovered by coach Aimee Boorman's mother during a field trip to the gym where Boorman was coaching has become a force.,-0.1738733235274299,"['tästä', 'tytöstä', 'jonka', 'hänen', 'isovanhempansa', 'adoptoivat', 'taaperona', 'ja', 'jonka', 'valmentaja', 'aimee', 'boormanin', 'äiti', 'löysi', 'kun', 'tyttö', 'oli', 'opintomatkalla', 'salilla', 'jossa', 'boorman', 'valmensi', 'on', 'tullut', 'voimatekijä']","['tytär', 'jonka', 'hänen', 'isovanhempansa', 'käyttivät', 'taapuisena', 'ja', 'jonka', 'valmentaja', 'aimee', 'boormanin', 'äiti', 'löysi', 'kenttämatkalle', 'kuntosalille', 'jossa', 'boorman', 'oli', 'valmennus', 'on', 'tullut', 'voima']",0.6,0.4166666666666667,0.2608695652173913,0.18181818181818182,0.6818181818181818,0.47619047619047616,0.3,0.21052631578947367,0.20322861319193386,25,22
